timestamp,frame_id,detected,tracked_marker,kalman_active,raw_x,raw_y,raw_z,kalman_x,kalman_y,kalman_z,qw,qx,qy,qz,pitch,yaw,roll
1785188239.988437,1283,True,0,False,0.0072,-0.0094,0.2827,0.0072,-0.0094,0.2829,-0.0280,0.9995,0.0107,0.0136,-3.09,-0.03,0.02
1785188240.0801883,1284,True,0,False,0.0071,-0.0095,0.2844,0.0071,-0.0094,0.2836,-0.0227,0.9996,0.0109,0.0092,-3.10,-0.02,0.02
1785188240.18459,1285,True,0,False,0.0071,-0.0094,0.2832,0.0071,-0.0094,0.2835,-0.0248,0.9996,0.0109,0.0105,-3.09,-0.02,0.02
1785188240.291021,1286,True,0,False,0.0071,-0.0094,0.2830,0.0071,-0.0094,0.2832,-0.0263,0.9996,0.0108,0.0094,-3.09,-0.02,0.02
1785188240.3890665,1287,True,0,False,0.0071,-0.0093,0.2828,0.0071,-0.0093,0.2830,-0.0288,0.9995,0.0105,0.0104,-3.08,-0.02,0.02
1785188240.4633708,1288,True,0,False,0.0071,-0.0093,0.2825,0.0071,-0.0093,0.2828,-0.0313,0.9994,0.0105,0.0132,-3.08,-0.03,0.02
1785188240.568556,1289,True,0,False,0.0072,-0.0094,0.2839,0.0072,-0.0094,0.2833,-0.0272,0.9995,0.0109,0.0125,-3.09,-0.03,0.02
1785188240.71897,1290,True,0,False,0.0071,-0.0094,0.2832,0.0071,-0.0094,0.2833,-0.0266,0.9995,0.0108,0.0123,-3.09,-0.03,0.02
1785188240.8015718,1291,True,0,False,0.0073,-0.0094,0.2834,0.0072,-0.0094,0.2833,-0.0270,0.9995,0.0113,0.0138,-3.09,-0.03,0.02
1785188240.8630722,1292,True,0,False,0.0071,-0.0094,0.2834,0.0072,-0.0094,0.2834,-0.0267,0.9996,0.0112,0.0077,-3.09,-0.02,0.02
1785188240.9752347,1293,True,0,False,0.0071,-0.0094,0.2834,0.0071,-0.0094,0.2834,-0.0264,0.9996,0.0108,0.0048,-3.09,-0.01,0.02
1785188241.0759854,1294,True,0,False,0.0072,-0.0094,0.2831,0.0072,-0.0094,0.2832,-0.0268,0.9995,0.0111,0.0094,-3.09,-0.02,0.02
1785188241.1788843,1295,True,0,False,0.0072,-0.0093,0.2824,0.0072,-0.0094,0.2828,-0.0300,0.9994,0.0112,0.0130,-3.08,-0.03,0.02
1785188241.2825263,1296,True,0,False,0.0072,-0.0094,0.2836,0.0072,-0.0094,0.2832,-0.0259,0.9995,0.0113,0.0121,-3.09,-0.02,0.02
1785188241.3817356,1297,True,0,False,0.0072,-0.0094,0.2832,0.0072,-0.0094,0.2832,-0.0261,0.9995,0.0113,0.0135,-3.09,-0.03,0.02
1785188241.481688,1298,True,0,False,0.0072,-0.0094,0.2836,0.0072,-0.0094,0.2834,-0.0249,0.9996,0.0112,0.0115,-3.09,-0.02,0.02
1785188241.58131,1299,True,0,False,0.0071,-0.0086,0.2831,0.0071,-0.0090,0.2833,-0.0259,0.9996,0.0106,0.0106,-3.09,-0.02,0.02
1785188241.6807537,1300,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0090,0.2833,-0.0258,0.9996,0.0106,0.0107,-3.09,-0.02,0.02
1785188241.7746785,1301,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0089,0.2833,-0.0257,0.9996,0.0105,0.0107,-3.09,-0.02,0.02
1785188241.8758225,1302,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0089,0.2833,-0.0256,0.9996,0.0105,0.0108,-3.09,-0.02,0.02
1785188241.972982,1303,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0089,0.2833,-0.0255,0.9996,0.0105,0.0108,-3.09,-0.02,0.02
1785188242.1319966,1304,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0088,0.2833,-0.0253,0.9996,0.0104,0.0109,-3.09,-0.02,0.02
1785188242.177972,1305,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0088,0.2833,-0.0252,0.9996,0.0104,0.0110,-3.09,-0.02,0.02
1785188242.2541814,1306,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0088,0.2833,-0.0251,0.9996,0.0104,0.0110,-3.09,-0.02,0.02
1785188242.4414113,1307,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0087,0.2833,-0.0249,0.9996,0.0103,0.0111,-3.09,-0.02,0.02
1785188242.4819992,1308,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0087,0.2833,-0.0249,0.9996,0.0103,0.0111,-3.09,-0.02,0.02
1785188242.563948,1309,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0087,0.2834,-0.0248,0.9996,0.0103,0.0112,-3.09,-0.02,0.02
1785188242.6821089,1310,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0087,0.2834,-0.0246,0.9996,0.0103,0.0112,-3.09,-0.02,0.02
1785188242.7858443,1311,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0086,0.2834,-0.0245,0.9996,0.0102,0.0113,-3.09,-0.02,0.02
1785188242.8878372,1312,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0086,0.2834,-0.0244,0.9996,0.0102,0.0114,-3.09,-0.02,0.02
1785188242.995042,1313,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0086,0.2834,-0.0242,0.9996,0.0102,0.0114,-3.09,-0.02,0.02
1785188243.099106,1314,True,-1,True,0.0000,0.0000,0.0000,0.0071,-0.0085,0.2834,-0.0241,0.9996,0.0102,0.0115,-3.09,-0.02,0.02
1785188243.191866,1315,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.2957096,1316,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.394176,1317,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.4876509,1318,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.5913835,1319,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.6959138,1320,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.7990947,1321,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1785188243.8964107,1322,False,-1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
